department,top_5_asins
Wella Elements Leight Weight Renewing Conditione...,['CNDEHGXHDHMKJXUS']
Wellon Fittings set (16 pieces) for RO Water Pur...,['WFCEHYZMGJQWVVZU']
Yo Baby Girl's Trousers,['TRODV7EYWAFXKFUW']
Zevrr Sterling Silver Swarovski Zirconia Platinu...,['RNGEH4G46M4DTFSM']
Zikrak Exim Women Wedges,['SNDEGG8AM4XNVJUG']
"Zixtro Bug (Black, Backpack)",['SPBDWS88YYG4FCGE']
classyworld Brass Cufflink (Grey-02),['CTPEGGFRXHKBYHXM']
classyworld Brass Cufflink (Silver-01),['CTPEGGFREGQYG8VT']
clickforsign Avoid Contanimation Wash your Hands...,['EMSEDSHQGFK6TF5F']
clickforsign Sound horn Before entering Emergenc...,['EMSEDSHQ3VU6T8Y2']
e-Fresh Baby Boy's Brief (Pack of 10),['BRFEGJAGCGMUZ7UH']
e-Fresh Boy's Brief (Pack of 5),['BRFEGHPVKBFEJZ3N']
eBooks,"['DGBDNY3ACA6PBK5X', 'DGBDTCRFCVWWTPWW', 'DGBE43HAN5ZAHAMP', 'DGBDNY38GJMFBBPF', 'DGBE6JPFHTUWZES4']"
fourgee Slim Fit Women's Blue Jeans,"['JEAEGFMHMXFFUBUZ', 'JEAEGFMZ7SGJWBR5']"
kem Flow Gold skinny Fit Baby Girl's Blue Jeans,['JEAEGBX2FBDMZK2N']
